Timestamp,Latitude,Longitude,Fix Quality,Fix Quality Text,Num Satellites,PRN,SNR,Elevation,Azimuth
2025-08-12 15:21:45,1.4136233333333332,103.91414933333333,1,Unknown,05,12,26,23,086
2025-08-12 15:21:45,1.4136233333333332,103.91414933333333,1,Unknown,05,10,13,22,347
2025-08-12 15:21:45,1.4136233333333332,103.91414933333333,1,Unknown,05,23,22,44,033
2025-08-12 15:21:45,1.4136233333333332,103.91414933333333,1,Unknown,05,32,17,25,316
2025-08-12 15:21:45,1.4136233333333332,103.91414933333333,1,Unknown,05,24,18,10,032
2025-08-12 15:21:57,1.4136356666666667,103.91421583333333,1,Unknown,05,12,25,23,086
2025-08-12 15:21:57,1.4136356666666667,103.91421583333333,1,Unknown,05,23,21,44,033
2025-08-12 15:21:57,1.4136356666666667,103.91421583333333,1,Unknown,05,18,N/A,N/A,N/A
2025-08-12 15:21:57,1.4136356666666667,103.91421583333333,1,Unknown,05,32,13,25,316
2025-08-12 15:21:57,1.4136356666666667,103.91421583333333,1,Unknown,05,24,14,10,032
2025-08-12 15:22:11,1.4137870000000001,103.91431766666666,1,Unknown,05,10,07,22,347
2025-08-12 15:22:11,1.4137870000000001,103.91431766666666,1,Unknown,05,23,21,44,033
2025-08-12 15:22:11,1.4137870000000001,103.91431766666666,1,Unknown,05,25,18,42,119
2025-08-12 15:22:11,1.4137870000000001,103.91431766666666,1,Unknown,05,32,08,25,316
2025-08-12 15:22:11,1.4137870000000001,103.91431766666666,1,Unknown,05,29,15,16,162
2025-08-12 15:22:37,0.0,0.0,0,Unknown,00,23,17,44,034
2025-08-12 15:22:37,0.0,0.0,0,Unknown,00,25,22,42,118
2025-08-12 15:22:37,0.0,0.0,0,Unknown,00,10,08,22,347
2025-08-12 15:22:50,1.4137948333333332,103.914173,1,Unknown,03,18,N/A,N/A,N/A
2025-08-12 15:22:50,1.4137948333333332,103.914173,1,Unknown,03,23,19,44,034
2025-08-12 15:22:50,1.4137948333333332,103.914173,1,Unknown,03,25,21,42,118
2025-08-12 15:22:50,1.4137948333333332,103.914173,1,Unknown,03,10,14,22,347
2025-08-12 15:23:04,1.4137415,103.91417583333333,1,Unknown,05,12,09,23,085
2025-08-12 15:23:04,1.4137415,103.91417583333333,1,Unknown,05,10,11,23,347
2025-08-12 15:23:04,1.4137415,103.91417583333333,1,Unknown,05,23,19,44,034
2025-08-12 15:23:04,1.4137415,103.91417583333333,1,Unknown,05,25,18,42,118
2025-08-12 15:23:04,1.4137415,103.91417583333333,1,Unknown,05,24,07,10,032
2025-08-12 15:23:04,1.4137415,103.91417583333333,1,Unknown,05,29,10,16,162
2025-08-12 15:23:17,1.4139455,103.91442166666667,1,Unknown,05,12,15,23,085
2025-08-12 15:23:17,1.4139455,103.91442166666667,1,Unknown,05,10,13,23,347
2025-08-12 15:23:17,1.4139455,103.91442166666667,1,Unknown,05,23,17,44,034
2025-08-12 15:23:17,1.4139455,103.91442166666667,1,Unknown,05,25,21,42,118
2025-08-12 15:23:17,1.4139455,103.91442166666667,1,Unknown,05,24,09,09,032
2025-08-12 15:23:30,1.4139283333333332,103.914373,1,Unknown,05,12,15,23,085
2025-08-12 15:23:30,1.4139283333333332,103.914373,1,Unknown,05,10,14,23,347
2025-08-12 15:23:30,1.4139283333333332,103.914373,1,Unknown,05,23,18,44,034
2025-08-12 15:23:30,1.4139283333333332,103.914373,1,Unknown,05,25,20,42,118
2025-08-12 15:23:30,1.4139283333333332,103.914373,1,Unknown,05,32,10,24,317
2025-08-12 15:23:30,1.4139283333333332,103.914373,1,Unknown,05,24,16,09,032
2025-08-12 15:23:43,1.4137623333333333,103.91418533333334,1,Unknown,05,10,15,23,347
2025-08-12 15:23:43,1.4137623333333333,103.91418533333334,1,Unknown,05,12,16,23,085
2025-08-12 15:23:43,1.4137623333333333,103.91418533333334,1,Unknown,05,23,18,44,034
2025-08-12 15:23:43,1.4137623333333333,103.91418533333334,1,Unknown,05,25,19,42,118
2025-08-12 15:23:43,1.4137623333333333,103.91418533333334,1,Unknown,05,18,N/A,N/A,N/A
2025-08-12 15:23:43,1.4137623333333333,103.91418533333334,1,Unknown,05,28,13,52,237
2025-08-12 15:23:43,1.4137623333333333,103.91418533333334,1,Unknown,05,24,11,09,032
2025-08-12 15:23:56,1.4135865,103.9141,1,Unknown,07,12,15,23,085
2025-08-12 15:23:56,1.4135865,103.9141,1,Unknown,07,10,15,23,347
2025-08-12 15:23:56,1.4135865,103.9141,1,Unknown,07,23,19,44,034
2025-08-12 15:23:56,1.4135865,103.9141,1,Unknown,07,25,19,42,117
2025-08-12 15:23:56,1.4135865,103.9141,1,Unknown,07,28,13,52,237
2025-08-12 15:24:09,1.4136579999999999,103.91418083333333,1,Unknown,05,12,15,23,085
2025-08-12 15:24:09,1.4136579999999999,103.91418083333333,1,Unknown,05,10,13,23,347
2025-08-12 15:24:09,1.4136579999999999,103.91418083333333,1,Unknown,05,23,21,44,034
2025-08-12 15:24:09,1.4136579999999999,103.91418083333333,1,Unknown,05,25,21,42,117
